dataset,gt_sampled_nodes,current_recall,new_recall,recall_diff,avg_pred_current,avg_pred_new
44b6_f28707c6,2,0.49999999975,0.9999999995,0.49999999975,244.25,401.0
6bba_07e24132,12,0.8333333332638889,0.9999999999166667,0.16666666665277774,433.0,993.75
6bba_0c7fa718,24,0.9166666666284722,0.9999999999583333,0.08333333332986115,192.0,402.5
6bba_0e7c0d07,9,0.9999999998888889,0.9999999998888889,0.0,238.0,377.0
6bba_1d0d8384,66,0.9242424242284205,0.9848484848335628,0.06060606060514229,259.25,432.25
6bba_1ebfb80d,29,0.8620689654875149,0.931034482726516,0.06896551723900113,170.25,338.5
6bba_207c6aaf,19,0.6842105262797784,0.9473684210027701,0.26315789472299167,144.5,427.0
6bba_20852818,36,0.9166666666412038,0.9166666666412038,0.0,143.5,203.75
6bba_2646afc7,32,0.9999999999687501,0.9687499999697267,-0.031249999999023448,75.5,144.0
6bba_268e1230,24,0.9166666666284722,0.9583333332934028,0.041666666664930574,50.25,124.75
6bba_283bf9f1,50,0.9199999999816001,0.9599999999808001,0.03999999999920001,229.25,329.0
6bba_32db13fc,38,0.8684210526087258,0.9736842105006926,0.10526315789196683,538.0,822.5
6bba_3a1849c2,45,0.7555555555387655,0.8444444444256791,0.0888888888869136,84.0,207.5
6bba_3db54e20,23,0.913043478221172,0.9565217390888469,0.04347826086767481,201.5,293.0
6bba_474be664,12,0.5833333332847223,0.9166666665902777,0.3333333333055555,373.25,701.25
6bba_4ffd3da3,31,0.6129032257866805,0.8709677419073881,0.2580645161207076,200.0,331.25
6bba_55c70843,15,0.7999999999466667,0.7999999999466667,0.0,392.5,695.25
6bba_57b7cc1e,71,0.7887323943550882,0.9154929577335845,0.12676056337849628,892.0,1411.5
6bba_5a4d9360,26,0.8846153845813609,0.9230769230414201,0.038461538460059175,74.5,121.0
6bba_5dfe9ad1,54,0.9444444444269547,0.9814814814633059,0.037037037036351195,287.0,423.5
6bba_6479435d,25,0.9599999999616,0.9599999999616,0.0,346.0,615.25
6bba_6feb10f0,57,0.21052631578578027,0.9824561403336411,0.7719298245478609,105.25,873.5
6bba_705ec2c9,23,0.7826086956181475,0.9565217390888469,0.17391304347069936,74.75,170.5
6bba_74686d6a,20,0.8499999999575,0.8499999999575,0.0,319.75,814.25
6bba_767a1e17,15,0.9333333332711111,0.9999999999333333,0.06666666666222221,497.25,669.0
6bba_78a7bd97,35,0.7999999999771429,0.9714285714008164,0.17142857142367351,393.25,753.5
6bba_969618f6,26,0.9230769230414201,0.9999999999615384,0.07692307692011835,160.75,245.75
6bba_a90a0b9c,48,0.8333333333159723,0.9791666666462674,0.14583333333029513,496.75,986.25
6bba_ab78413d,46,0.3913043478175804,0.9347826086753309,0.5434782608577505,137.5,620.25
6bba_b329af44,58,0.9137931034325208,0.9310344827425684,0.017241379310047544,822.25,1086.75
6bba_c328f2fd,18,0.8333333332870371,0.8888888888395061,0.05555555555246905,373.5,539.0
6bba_c73a1d11,27,0.7037037036776406,0.999999999962963,0.2962962962853224,210.25,602.25
6bba_d1acb6ff,23,0.8695652173534971,0.9565217390888469,0.08695652173534973,188.25,288.5
6bba_d6ecebbb,28,0.9642857142512755,0.9642857142512755,0.0,66.25,127.75
6bba_debd7bfa,23,0.8260869564858223,0.9565217390888469,0.13043478260302455,163.75,256.25
6bba_e5e44988,29,0.9655172413460167,0.9999999999655173,0.034482758619500564,65.5,189.75
6bba_ebff6e76,57,0.8421052631431211,0.9473684210360112,0.10526315789289009,559.75,1327.0
6bba_f17befbc,43,0.9534883720708491,0.9999999999767443,0.046511627905895137,272.0,536.25
6bba_f1fde7e0,22,0.8181818181446281,0.9999999999545455,0.18181818180991738,129.0,461.0
6bba_fc5f39dc,20,0.79999999996,0.99999999995,0.19999999998999995,149.75,248.0
6bba_fc83837d,36,0.8888888888641976,0.9166666666412038,0.027777777777006185,164.5,458.25
